# Nodos,# Bienes,Tiempo de ejecución de Couenne,Valor objetivo de Couenne,Tiempo de ejecución del Algoritmo Genético,Mejor valor objetivo del Algoritmo Genético,Peor valor objetivo del Algoritmo Genético
5,1,0.008683,499292.64,0.5007643699645996,499292.64462809917,547553.7673130194
5,3,0.11762,1703631.203292316,1.639374852180481,1704023.7476710142,1797069.513477975
5,5,0.004097,2959872.2,1.3073019981384277,2959872.225660088,3088212.0240976564
5,7,0.01498,2868928.135578291,4.764459252357483,2869135.7301461985,3108264.276726937
10,1,0.093507,380800.3966942149,1.7151057720184326,384201.46280991734,524685.1111111111
10,3,1.23846,699857.4897937207,10.697508454322815,740021.4290351742,1116437.6543273646
10,5,5.69253,1917033.435714528,24.60651731491089,1917033.435714528,2346120.963752924
10,7,73.3217,2499959.2,32.123035311698914,2622670.2025262164,3128556.937395034
15,1,0.086584,242676.1158587367,0.9267010688781738,251291.43814566114,414280.11202238966
15,3,6.48149,847907.1395165342,8.782028436660767,847907.1395165342,1207264.0705467372
15,5,36.03,1134136.7,20.42614781856537,1183565.3915852234,1873761.905846848
15,7,64.24,1767543.469272685,21.573604226112366,1767543.469272685,2757574.8062056536
20,1,0.950327,418605.8909045099,2.134675621986389,443748.4242882338,616894.1583753378
20,3,34.89,1096563.1,20.577982306480408,1103971.018620549,1486432.6590026512
20,5,59.12,1995369.1,33.526466488838196,2043506.424382716,2579031.8837833074
20,7,76.82,2491801.0,43.25825548171997,3018924.6333865854,3576091.675488789
30,1,2.57049,422356.7763972118,7.0468703508377075,446278.6111111111,584682.0
30,3,88.29,1126224.3,39.99135708808899,1140261.97845805,1526787.3811128447
30,5,196.91,1580413.7,66.15427541732788,1744899.6094104308,2203965.4913297174
30,7,318.64,2417517.0,89.45197093486786,2444808.871189216,3178879.1060878057
50,1,16.565,392256.9256482316,14.546670079231262,424834.44444444444,619375.0
50,3,285.0,998924.96,35.71860361099243,1112968.8577097505,1461477.844869146
50,5,525.62,1574122.5,126.07576203346252,1632100.5073696144,2143339.976131913
50,7,1130.16,2463475.4,173.10831940174103,2599899.785147392,3266988.9865180617
70,1,48.3724,342532.3847513397,27.08004581928253,357237.8888888889,479091.86805555556
70,3,733.61,995572.95,133.9176642894745,1078372.3333333333,1398111.1955782312
70,5,1312.68,1606624.1,222.71811497211456,1735917.1751700682,2236221.315903236
70,7,1939.96,2251286.2,313.69927859306335,2454758.8214443186,3009646.8595193555
100,1,288.7,338277.44,76.12610375881195,363049.3611111111,492932.16326530615
100,3,2045.12,921732.25,276.959787607193,1049903.0277777778,1405081.531163435
100,5,4887.99,1585387.9,474.8810535669327,1790014.888888889,2269445.7981785852
100,7,14018.52,2310516.7,661.4361172914505,2549610.361111111,3248711.7917389837
